aX,aY,aZ,gX,gY,gZ
0.761,0.181,0.465,14.648,-115.173,-22.339
0.753,0.209,0.561,9.827,-121.643,-17.578
0.738,0.160,0.655,7.324,-125.427,-18.982
0.727,0.067,0.730,0.366,-124.756,-18.250
0.729,0.060,0.823,-10.132,-122.620,-10.376
0.731,0.191,0.886,-17.944,-117.065,2.197
0.747,0.409,0.892,-11.230,-110.413,9.827
0.759,0.570,0.910,5.615,-107.727,3.906
0.759,0.618,0.916,26.489,-106.873,-13.489
0.763,0.527,0.931,45.105,-105.408,-36.560
0.760,0.393,0.896,61.523,-102.600,-55.420
0.749,0.315,0.874,62.988,-99.121,-64.514
0.746,0.218,0.851,63.049,-97.534,-70.190
0.733,0.038,0.823,56.702,-96.985,-75.073
0.770,-0.163,0.832,34.973,-95.886,-73.181
0.791,-0.269,0.891,23.743,-97.778,-62.317
0.816,-0.310,1.038,8.972,-100.464,-46.326
0.880,-0.298,1.102,-10.254,-94.238,-28.381
0.881,-0.085,1.129,-13.977,-85.022,-6.409
0.908,0.168,1.139,-14.832,-76.477,10.071
0.923,0.409,1.056,-25.879,-64.758,15.869
0.917,0.525,0.998,-19.104,-58.228,9.216
0.923,0.612,0.983,-9.216,-56.396,-2.319
0.903,0.618,0.941,1.404,-53.223,-17.883
0.893,0.518,0.914,13.245,-50.293,-36.865
0.861,0.338,0.859,23.865,-46.753,-53.650
0.849,0.178,0.800,33.875,-44.556,-62.866
0.843,0.013,0.799,36.682,-45.654,-65.491
0.850,-0.143,0.836,34.973,-47.974,-62.073
0.870,-0.212,0.922,28.076,-50.293,-49.927

2.755,0.531,0.399,-4.028,-29.785,80.811
3.215,1.180,1.170,53.772,-47.302,79.773
3.551,1.635,2.105,125.793,-56.702,51.453
3.724,1.323,2.826,162.903,-27.344,-6.409
3.792,0.198,3.598,90.698,21.545,-56.213
3.832,-0.960,4.000,-55.481,69.519,-60.486
3.595,-1.346,4.000,-152.649,123.474,-12.329
3.261,-1.173,4.000,-133.301,234.131,36.194
2.955,-1.078,4.000,-38.452,369.812,45.593
2.448,-1.536,4.000,27.954,438.171,21.606
1.686,-1.934,4.000,17.944,475.586,18.555
0.933,-1.696,4.000,-15.564,532.532,56.885
0.258,-1.101,4.000,-22.095,581.726,95.581
-0.360,-0.557,4.000,0.183,595.337,106.201
-0.974,-0.215,4.000,19.592,598.694,99.060
-1.543,0.040,4.000,23.682,614.563,88.623
-1.901,0.534,3.478,25.452,638.977,85.938
-2.065,1.198,2.805,36.865,642.029,78.125
-2.264,1.380,2.571,59.448,604.797,30.029
-2.748,0.729,2.534,87.830,565.674,-56.580
-3.310,-0.029,1.951,128.540,570.984,-117.249
-3.769,-0.719,0.937,160.767,634.460,-129.333
-3.985,-1.204,-0.727,164.429,680.969,-115.356
-4.000,-1.636,-2.033,152.466,584.900,-78.918
-3.924,-1.676,-2.483,118.225,433.716,-2.136
-3.730,-0.882,-2.281,94.299,279.053,101.624
-3.443,0.171,-1.788,72.754,158.630,181.091
-3.149,0.763,-1.688,64.941,90.088,197.083
-2.846,0.863,-1.860,66.223,42.908,175.110
-2.494,0.911,-1.771,61.035,-17.334,159.790
-2.055,1.142,-1.201,37.048,-89.294,162.415
-1.553,1.421,-0.493,11.841,-146.545,163.879
-1.099,1.555,0.063,0.793,-169.861,146.729
-0.720,1.439,0.230,-4.333,-158.813,110.291
-0.400,1.117,0.230,-6.714,-142.883,72.083
-0.141,0.751,0.346,-11.169,-141.052,46.875
0.057,0.422,0.499,-18.311,-139.587,37.292
0.195,0.248,0.505,-17.822,-126.709,41.748
0.305,0.390,0.333,-5.371,-108.948,59.387
0.366,0.723,0.119,11.047,-98.145,75.684
0.427,1.012,-0.066,23.926,-95.825,75.500
0.496,1.098,-0.064,31.677,-102.966,59.265
0.586,1.063,0.049,32.715,-108.765,37.598
